,AIP Control Register Start Addr: 0x4003_6000,,,,,,,,
,,,,,,,,,
,Addr,IP name,Addr,IP name,Addr,IP name,,,
,0x000,HIRC/LJIRC,0x500,BOR/LVD_USB/ADC/Flash,0xA00,,,,
,0x100,IRC32K/IRC512K,0x600,SYS_HOLD 0&1,0xB00,,,,
,0x200,XTAL,0x700,USB-PHY,0xC00,,,,
,0x300,LDO/LDO2/DCDC/PLLREGU,0x800,,0xD00,,,,
,0x400,PLLA/PLLB,0x900,,0xE00,SRAM,,,
,,,,,0xF00,PASSWORD,,,
,offset,Name,Bit,Bit Name,Description,Default,Trim Code,Inf Bit,
,0x000,HIRC,bit[31:18],RESERVED,,14'h0,,,
,,,bit[17:15],HIRC_TV12[2:0],Trimming bus of internal regulator voltage,3'b000,Inf autoload 12Mhz,,
,,,bit[14:13],HIRC_TCF[1:0],Trimming center freauency shift bus,2'b11,Inf autoload 12Mhz,,
,,,bit[12:11],HIRC_TBG[1:0],Trimming bus of internal bandgap voltage,2'b11,Inf autoload 12Mhz,,
,,,bit[10:5],HIRC_CA[5:0],HIRC 6 bit trim code ,6'b111111,Inf autoload 12Mhz,,
,,,bit[4:2],HIRC_RCM[2:0],"Frequency Select
000: 12M
001: 16M 
010: 20M 
011: 24M
100: 28M(PLL會針對RCM[2]=1&補償開關開啟=> 補償高速SE)
101: 32M(PLL會針對RCM[2]=1&補償開關開啟=> 補償高速SE)
others: 32M",3'b000,,,
,,,bit[1],HIRC_TESTV,"Internal regulator output enable
0: HIRC Clock out, VDIRCO out HiZ
1: HIRC Clock off, VDIRCO out 1.3V",1'b0,"切換clock要等待16T再放出去
TESTV 要多做一道鎖",,
,,,bit[0],HIRC_POWER_DOWN,"0: Active
1: Power Down (PASSWORD)",1'b0,,,
,0x004,LJIRC,bit[31:18],RESERVED,,14'h0,,,
,,,bit[17],LJIRC_TESTV10B,Test mode control pin,1'b1,,,
,,,bit[16:15],LJIRC_TMV10[1:0],1.0V internal regulator trimming bits,2'b11,,,
,,,bit[14:12],LJIRC_FC[2:0],7% Trim Code FC 3 bit,3'b111,,,
,,,bit[11:7],LJIRC_CA[4:0],0.84% Trim Code CA 5 bit,5'b11111,,,
,,,bit[6:3],LJIRC_FR[3:0],0.15%  Trim Code FR 4 bit,4'b1111,,,
,,,bit[2:1],LJIRC_RCM,"Frequency Select:
00: 500KHz 
01: 2MHz 
10: 6MHz  
11: 1MHz ",2'b11,,,
,,,bit[0],LJIRC_PD,"0: Power On    
1: Power Down",1'b1,6-clock ready,,
,0x100,LIRC512K,bit[31:8],RESERVED,,24'h0000aa,dummy 8bit,,
,,,bit[7:6],SIRC_512K_PSET,Sub IRC512 K capacitance trim,2'b01,,,
,,,bit[5:1],SIRC_512K_CA,Trimming bit bus of 1% step,5'b11111,,,
,,,bit[0],SIRC_512K_POWER_DOWN,"0: Power On
1: Power Down ",1'b1,5-clock ready,,
,0x104,LIRC32K,bit[31:8],RESERVED,,24'h0000aa,,,
,,,bit[7:6],SIRC_32K_PSET,Sub IRC32k capacitance trim,2'b01,Inf autoload 32K,,
,,,bit[5:1],SIRC_32K_CA,Sub irc 32k power CA,5'b11111,Inf autoload 32K,,
,,,bit[0],SIRC_32K_POWER_DOWN,"0: Power On
1: Power Down (PASSWORD) ",1'b0,5-clock ready,,
,0x300,"LDO
(Max 50mA)",bit[31:10],RESERVED,,22'h0,,,
,,,bit[9:4],LDO_VT[5:0],Regulator Output Voltage Trim Bits,6'b011111,Inf autoload,,
